shadow 21x8x21, 1722 ready/0 observed/1806 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 419968 probes (408310 true/11658 false), 817 ready/815 lost transitions, 0 errors, 6 window changes/0 resizes, events 419968 accepted/4938 coalesced/0 dropped, columns 441 tracked/215 full/2 partial, max 8/8 ready per column, ready per Y 216/215/215/215/215/216/215/215
shadow 21x8x21, 1723 ready/0 observed/1805 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 417883 probes (412046 true/5837 false), 410 ready/408 lost transitions, 0 errors, 3 window changes/0 resizes, events 417883 accepted/3545 coalesced/0 dropped, columns 441 tracked/215 full/3 partial, max 8/8 ready per column, ready per Y 215/215/215/218/215/215/215/215
shadow 21x8x21, 1761 ready/0 observed/1767 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 388484 probes (386621 true/1863 false), 134 ready/96 lost transitions, 0 errors, 1 window changes/0 resizes, events 388484 accepted/2661 coalesced/0 dropped, columns 441 tracked/220 full/1 partial, max 8/8 ready per column, ready per Y 221/220/220/220/220/220/220/220
shadow 21x8x21, 1720 ready/0 observed/1808 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 424770 probes (413050 true/11720 false), 775 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 424770 accepted/3701 coalesced/0 dropped, columns 441 tracked/215 full/0 partial, max 8/8 ready per column, ready per Y 215/215/215/215/215/215/215/215
shadow 21x8x21, 1720 ready/0 observed/1808 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 405932 probes (394235 true/11697 false), 816 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 405932 accepted/3412 coalesced/0 dropped, columns 441 tracked/215 full/0 partial, max 8/8 ready per column, ready per Y 215/215/215/215/215/215/215/215
shadow 21x8x21, 1722 ready/0 observed/1806 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 427440 probes (427440 true/0 false), 2 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 427440 accepted/2718 coalesced/0 dropped, columns 441 tracked/215 full/2 partial, max 8/8 ready per column, ready per Y 215/215/215/217/215/215/215/215
shadow 21x8x21, 1721 ready/0 observed/1807 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 426993 probes (419252 true/7741 false), 503 ready/504 lost transitions, 0 errors, 4 window changes/0 resizes, events 426993 accepted/3498 coalesced/0 dropped, columns 441 tracked/215 full/1 partial, max 8/8 ready per column, ready per Y 215/215/216/215/215/215/215/215
shadow 21x8x21, 1720 ready/0 observed/1808 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 386190 probes (372648 true/13542 false), 952 ready/953 lost transitions, 0 errors, 7 window changes/0 resizes, events 386190 accepted/3824 coalesced/0 dropped, columns 441 tracked/215 full/0 partial, max 8/8 ready per column, ready per Y 215/215/215/215/215/215/215/215
shadow 21x8x21, 1724 ready/0 observed/1804 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 385613 probes (383510 true/2103 false), 141 ready/137 lost transitions, 0 errors, 1 window changes/0 resizes, events 385613 accepted/2720 coalesced/0 dropped, columns 441 tracked/215 full/4 partial, max 8/8 ready per column, ready per Y 215/215/215/218/216/215/215/215
shadow 21x8x21, 1720 ready/0 observed/1808 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 352748 probes (348942 true/3806 false), 228 ready/232 lost transitions, 0 errors, 2 window changes/0 resizes, events 352748 accepted/2790 coalesced/0 dropped, columns 441 tracked/215 full/0 partial, max 8/8 ready per column, ready per Y 215/215/215/215/215/215/215/215
shadow 21x8x21, 1720 ready/0 observed/1808 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 401507 probes (387904 true/13603 false), 952 ready/952 lost transitions, 0 errors, 7 window changes/0 resizes, events 401507 accepted/3907 coalesced/0 dropped, columns 441 tracked/215 full/0 partial, max 8/8 ready per column, ready per Y 215/215/215/215/215/215/215/215
shadow 21x8x21, 1722 ready/0 observed/1806 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 373490 probes (365672 true/7818 false), 546 ready/544 lost transitions, 0 errors, 4 window changes/0 resizes, events 373490 accepted/3225 coalesced/0 dropped, columns 441 tracked/215 full/2 partial, max 8/8 ready per column, ready per Y 215/215/215/217/215/215/215/215
shadow 21x8x21, 1722 ready/0 observed/1806 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 354387 probes (354387 true/0 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 354387 accepted/2313 coalesced/0 dropped, columns 441 tracked/215 full/2 partial, max 8/8 ready per column, ready per Y 215/215/215/217/215/215/215/215
shadow 21x8x21, 1729 ready/103 observed/1696 pending/0 unknown, 543 probes/24 observations queued, oldest work 2 frames, 376.0 KiB arrays, interval 385182 probes (374607 true/10575 false), 647 ready/640 lost transitions, 0 errors, 6 window changes/0 resizes, events 385725 accepted/3991 coalesced/0 dropped, columns 441 tracked/216 full/1 partial, max 8/8 ready per column, ready per Y 217/216/216/216/216/216/216/216
shadow 21x8x21, 1720 ready/0 observed/1808 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 466451 probes (453747 true/12704 false), 943 ready/952 lost transitions, 0 errors, 6 window changes/0 resizes, events 465908 accepted/4893 coalesced/0 dropped, columns 441 tracked/215 full/0 partial, max 8/8 ready per column, ready per Y 215/215/215/215/215/215/215/215
shadow 21x8x21, 1723 ready/0 observed/1805 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 478473 probes (478473 true/0 false), 3 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 478473 accepted/3211 coalesced/0 dropped, columns 441 tracked/215 full/3 partial, max 8/8 ready per column, ready per Y 215/215/215/218/215/215/215/215
shadow 21x8x21, 1723 ready/0 observed/1805 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 472765 probes (472765 true/0 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 472765 accepted/3022 coalesced/0 dropped, columns 441 tracked/215 full/3 partial, max 8/8 ready per column, ready per Y 215/215/215/218/215/215/215/215
