shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 482760 probes (385576 true/97184 false), 136 ready/136 lost transitions, 0 errors, 1 window changes/0 resizes, events 170 accepted/74 coalesced/0 dropped, sweeps 482590 accepted/2882 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 517798 probes (409751 true/108047 false), 368 ready/368 lost transitions, 0 errors, 3 window changes/0 resizes, events 390 accepted/64 coalesced/0 dropped, sweeps 517408 accepted/3786 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 578088 probes (452840 true/125248 false), 816 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 829 accepted/121 coalesced/0 dropped, sweeps 577259 accepted/5417 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 587666 probes (465555 true/122111 false), 408 ready/408 lost transitions, 0 errors, 3 window changes/0 resizes, events 483 accepted/107 coalesced/0 dropped, sweeps 587183 accepted/4089 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 553300 probes (441888 true/111412 false), 96 ready/96 lost transitions, 0 errors, 1 window changes/0 resizes, events 104 accepted/23 coalesced/0 dropped, sweeps 553196 accepted/3160 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 582510 probes (456718 true/125792 false), 816 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 953 accepted/161 coalesced/0 dropped, sweeps 581557 accepted/4560 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1840 ready/0 observed/1688 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 555571 probes (435540 true/120031 false), 800 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 908 accepted/117 coalesced/0 dropped, sweeps 554663 accepted/4456 coalesced, columns 441 tracked/230 full/0 partial, max 8/8 ready per column, ready per Y 230/230/230/230/230/230/230/230
shadow 21x8x21, 1840 ready/0 observed/1688 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 607071 probes (483927 true/123144 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 17 accepted/21 coalesced/0 dropped, sweeps 607054 accepted/3114 coalesced, columns 441 tracked/230 full/0 partial, max 8/8 ready per column, ready per Y 230/230/230/230/230/230/230/230
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 579320 probes (455605 true/123715 false), 504 ready/488 lost transitions, 0 errors, 4 window changes/0 resizes, events 585 accepted/98 coalesced/0 dropped, sweeps 578735 accepted/4211 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1720 ready/0 observed/1808 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 518964 probes (406272 true/112692 false), 817 ready/953 lost transitions, 0 errors, 7 window changes/0 resizes, events 975 accepted/262 coalesced/0 dropped, sweeps 517989 accepted/5036 coalesced, columns 441 tracked/215 full/0 partial, max 8/8 ready per column, ready per Y 215/215/215/215/215/215/215/215
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 538597 probes (429768 true/108829 false), 273 ready/137 lost transitions, 0 errors, 1 window changes/0 resizes, events 411 accepted/221 coalesced/0 dropped, sweeps 538186 accepted/3049 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 487338 probes (387384 true/99954 false), 232 ready/232 lost transitions, 0 errors, 2 window changes/0 resizes, events 263 accepted/71 coalesced/0 dropped, sweeps 487075 accepted/3193 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1725 ready/0 observed/1803 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 542783 probes (423817 true/118966 false), 821 ready/952 lost transitions, 0 errors, 7 window changes/0 resizes, events 1014 accepted/215 coalesced/0 dropped, sweeps 541769 accepted/4954 coalesced, columns 441 tracked/215 full/1 partial, max 8/8 ready per column, ready per Y 216/216/216/216/216/215/215/215
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 513857 probes (404834 true/109023 false), 675 ready/544 lost transitions, 0 errors, 4 window changes/0 resizes, events 678 accepted/255 coalesced/0 dropped, sweeps 513179 accepted/3913 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 506767 probes (406239 true/100528 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 25 accepted/44 coalesced/0 dropped, sweeps 506742 accepted/2666 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 688 probes/0 observations queued, oldest work 1 frames, 376.0 KiB arrays, interval 532951 probes (417968 true/114983 false), 640 ready/640 lost transitions, 0 errors, 6 window changes/0 resizes, events 666 accepted/92 coalesced/0 dropped, sweeps 532973 accepted/4961 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1848 ready/0 observed/1680 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 642220 probes (502153 true/140067 false), 944 ready/952 lost transitions, 0 errors, 6 window changes/0 resizes, events 992 accepted/153 coalesced/0 dropped, sweeps 640540 accepted/5842 coalesced, columns 441 tracked/231 full/0 partial, max 8/8 ready per column, ready per Y 231/231/231/231/231/231/231/231
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 691407 probes (554143 true/137264 false), 8 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 40 accepted/74 coalesced/0 dropped, sweeps 691367 accepted/3697 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 692563 probes (555019 true/137544 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 3 accepted/4 coalesced/0 dropped, sweeps 692560 accepted/3736 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
