shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 517031 probes (414255 true/102776 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 32 accepted/46 coalesced/0 dropped, sweeps 516999 accepted/2689 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 244 blocks/unready 244 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1864 ready/0 observed/1664 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 525402 probes (414365 true/111037 false), 512 ready/504 lost transitions, 0 errors, 4 window changes/0 resizes, events 540 accepted/76 coalesced/0 dropped, sweeps 524862 accepted/4347 coalesced, columns 441 tracked/233 full/0 partial, max 8/8 ready per column, ready per Y 233/233/233/233/233/233/233/233, nearest incomplete 232 blocks/unready 232 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 960 probes/0 observations queued, oldest work 3 frames, 376.0 KiB arrays, interval 613248 probes (480508 true/132740 false), 808 ready/816 lost transitions, 0 errors, 7 window changes/0 resizes, events 835 accepted/114 coalesced/0 dropped, sweeps 613373 accepted/5673 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 224 blocks/unready 224 blocks, handoff 160 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 549008 probes (436812 true/112196 false), 272 ready/272 lost transitions, 0 errors, 1 window changes/0 resizes, events 336 accepted/106 coalesced/0 dropped, sweeps 547712 accepted/3386 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 234 blocks/unready 234 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 541168 probes (430759 true/110409 false), 232 ready/232 lost transitions, 0 errors, 2 window changes/0 resizes, events 265 accepted/36 coalesced/0 dropped, sweeps 540903 accepted/3401 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 234 blocks/unready 234 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 612289 probes (480683 true/131606 false), 816 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 922 accepted/118 coalesced/0 dropped, sweeps 611367 accepted/4579 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 226 blocks/unready 226 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 540988 probes (425486 true/115502 false), 680 ready/680 lost transitions, 0 errors, 5 window changes/0 resizes, events 775 accepted/122 coalesced/0 dropped, sweeps 540213 accepted/4066 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 252 blocks/unready 252 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 569215 probes (455831 true/113384 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 15 accepted/15 coalesced/0 dropped, sweeps 569200 accepted/3056 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 252 blocks/unready 252 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1720 ready/0 observed/1808 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 555057 probes (436530 true/118527 false), 640 ready/776 lost transitions, 0 errors, 6 window changes/0 resizes, events 727 accepted/120 coalesced/0 dropped, sweeps 554330 accepted/4729 coalesced, columns 441 tracked/215 full/0 partial, max 8/8 ready per column, ready per Y 215/215/215/215/215/215/215/215, nearest incomplete 220 blocks/unready 220 blocks, handoff 160 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 533604 probes (419659 true/113945 false), 952 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 1132 accepted/198 coalesced/0 dropped, sweeps 532472 accepted/4795 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 243 blocks/unready 243 blocks, handoff 160 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 498144 probes (399240 true/98904 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 82 accepted/133 coalesced/0 dropped, sweeps 498062 accepted/2602 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 230 blocks/unready 230 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1732 ready/0 observed/1796 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 495388 probes (391305 true/104083 false), 380 ready/504 lost transitions, 0 errors, 4 window changes/0 resizes, events 525 accepted/80 coalesced/0 dropped, sweeps 494863 accepted/3793 coalesced, columns 441 tracked/216 full/1 partial, max 8/8 ready per column, ready per Y 217/217/217/217/216/216/216/216, nearest incomplete 218 blocks/unready 218 blocks, handoff 160 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 546984 probes (427455 true/119529 false), 940 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 922 accepted/171 coalesced/0 dropped, sweeps 546062 accepted/4634 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 242 blocks/unready 242 blocks, handoff 160 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 511838 probes (405436 true/106402 false), 408 ready/408 lost transitions, 0 errors, 3 window changes/0 resizes, events 507 accepted/155 coalesced/0 dropped, sweeps 511331 accepted/3647 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 244 blocks/unready 244 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 448 probes/0 observations queued, oldest work 1 frames, 376.0 KiB arrays, interval 509687 probes (407567 true/102120 false), 0 ready/0 lost transitions, 0 errors, 1 window changes/0 resizes, events 15 accepted/27 coalesced/0 dropped, sweeps 510120 accepted/2792 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 241 blocks/unready 241 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1825 ready/0 observed/1703 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 531588 probes (415286 true/116302 false), 881 ready/912 lost transitions, 0 errors, 6 window changes/0 resizes, events 932 accepted/116 coalesced/0 dropped, sweeps 530208 accepted/5428 coalesced, columns 441 tracked/227 full/3 partial, max 8/8 ready per column, ready per Y 230/230/229/228/227/227/227/227, nearest incomplete 229 blocks/unready 236 blocks, handoff 160 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 649802 probes (511317 true/138485 false), 711 ready/680 lost transitions, 0 errors, 5 window changes/0 resizes, events 712 accepted/124 coalesced/0 dropped, sweeps 649090 accepted/5283 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 234 blocks/unready 234 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 647320 probes (518608 true/128712 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 16 accepted/24 coalesced/0 dropped, sweeps 647304 accepted/3432 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 234 blocks/unready 234 blocks, handoff 192 blocks (readiness, radial 64)
